assign_edges_none,average_branching_none,comparison_edges_none,constants_none,edges_none,main_automaton_nodes_none,max_branching_none,nodes_none,reachability_edges_none,reachability_subautomatons_none,skip_edges_none,state_size_none,tag_edges_none,variables_none,game,language,assign_edges_all,average_branching_all,comparison_edges_all,constants_all,edges_all,main_automaton_nodes_all,max_branching_all,nodes_all,reachability_edges_all,reachability_subautomatons_all,skip_edges_all,state_size_all,tag_edges_all,variables_all,nodes_diff_percentage
72,1.0845070422535212,24,8,231,104,2,230,32,16,95,859,8,7,knightthrough_split,rbg,31,1.21875,32,4,78,43,2,71,10,6,1,599,4,6,69.1304347826087
780,1.1549345596038203,884,12,3265,674,16,2870,98,42,1487,729,16,7,reversi,rbg,647,1.2627852084972462,868,20,1605,292,8,1300,74,28,1,665,15,6,54.70383275261324
1002,1.2553990610328638,728,20,4011,972,16,3220,80,24,1901,2526,300,11,chess,rbg,555,1.7391304347826086,728,29,1840,421,16,1071,52,12,395,1486,110,10,66.73913043478261
410,1.2802741812642802,290,16,1681,650,16,1332,36,18,755,1180,190,8,chessQuick5x6_kingCapture,rbg,297,1.644483362521891,296,16,939,358,16,584,24,12,236,1180,86,8,56.15615615615616
78,1.0861244019138756,10,6,227,107,4,220,20,10,105,719,14,7,foxAndHounds-10x10,rbg,35,1.288888888888889,10,4,58,35,4,50,8,4,1,465,4,5,77.27272727272727
1002,1.2553990610328638,728,20,4011,972,16,3220,80,24,1901,2526,300,11,chessCylinder,rbg,555,1.7391304347826086,728,29,1840,421,16,1071,52,12,395,1486,110,10,66.73913043478261
566,1.1345816266822704,308,8,1939,662,8,1754,82,40,813,692,170,8,englishDraughts,rbg,199,1.5360824742268042,252,10,596,219,12,405,38,16,33,462,74,6,76.90992018244015
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,1429,4,7,hex,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,820,2,5,82.01754385964912
1098,1.0701474691111996,264,11,2685,1081,8,2521,22,11,971,20873,330,7,paperSoccer,rbg,416,1.1956521739130437,232,33,880,445,8,742,16,5,80,11689,136,6,70.56723522411741
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,865,14,7,breakthrough_9x9,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,538,5,5,73.83177570093457
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,609,14,7,breakthrough_7x7,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,410,5,5,73.83177570093457
606,1.2330532212885157,382,20,2201,898,16,1796,20,10,883,2526,310,11,chess_kingCapture,rbg,387,1.5503355704697988,380,31,1161,492,16,750,8,4,266,2526,120,11,58.240534521158125
962,1.2704673516738485,730,20,3833,910,16,3042,80,24,1817,2626,244,11,chess_200,rbg,528,1.788675429726997,726,30,1769,370,16,1002,52,12,381,1586,82,10,67.0611439842209
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,417,14,7,breakthrough_5x5,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,314,5,5,73.83177570093457
98,1.079155672823219,60,10,409,66,8,406,36,26,203,2469,12,7,gomoku_standard,rbg,25,1.2736842105263158,60,24,121,26,8,100,8,4,24,1340,4,5,75.36945812807882
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,1017,14,7,breakthrough_10x10,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,614,5,5,73.83177570093457
370,1.1334418226200162,112,10,1393,466,5,1309,186,79,625,6525,100,10,go,rbg,222,1.3701799485861184,113,11,533,230,5,435,152,45,15,6164,31,9,66.768525592055
364,1.1450634307777166,165,10,2076,756,8,2051,316,237,1091,1421,140,7,amazons_split5plus,rbg,167,1.3245192307692308,103,8,551,403,8,424,14,7,129,816,138,5,79.32715748415407
651,1.0668616798997077,280,14,2553,587,6,2531,280,137,902,490,440,9,theMillGame_split,rbg,215,1.2751196172248804,157,16,533,275,4,456,100,37,20,466,41,8,81.98340576847096
604,1.127591706539075,308,8,2121,710,8,1946,134,64,845,692,230,8,englishDraughts_split,rbg,183,1.530612244897959,268,10,600,227,12,413,46,20,33,462,70,6,78.77697841726618
1056,1.3118503118503118,1038,15,4417,1226,10,3386,44,18,1993,2433,286,9,canadianDraughts,rbg,850,1.7029478458049887,1028,19,2253,574,12,1336,38,12,243,2433,94,9,60.543414057885414
82,1.1030927835051547,44,10,321,66,8,302,20,10,163,2469,12,7,gomoku_freeStyle,rbg,25,1.3291139240506329,44,20,105,26,8,84,8,4,24,1340,4,5,72.18543046357617
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,859,4,7,hex_8x8,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,535,2,5,82.01754385964912
784,1.112079701120797,378,13,2679,822,16,2442,58,32,1183,570,276,8,alquerque,rbg,391,1.3449477351916377,238,21,772,315,16,587,28,12,37,545,78,7,75.96232596232596
64,1.0985221674876848,30,6,223,98,3,214,20,10,95,1369,14,7,breakthrough_12x12,rbg,29,1.2264150943396226,24,8,65,38,3,56,4,2,3,790,5,5,73.83177570093457
606,1.2330532212885157,382,20,2201,898,16,1796,20,10,883,1140,310,11,chessGardner5x5_kingCapture,rbg,387,1.5503355704697988,380,31,1161,492,16,750,8,4,266,1140,120,11,58.240534521158125
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,1219,4,7,hex_10x10,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,715,2,5,82.01754385964912
373,1.1386292834890963,207,18,1462,442,4,1320,82,27,688,1160,112,8,surakarta,rbg,201,1.4397590361445782,174,14,478,167,12,339,12,6,77,1160,14,8,74.31818181818181
92,1.119241192411924,46,8,413,84,6,382,28,12,235,829,12,7,yavalath,rbg,33,1.4086021505376345,46,12,131,32,6,100,12,6,36,520,4,5,73.82198952879581
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,579,4,7,hex_6x6,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,395,2,5,82.01754385964912
60,1.0701754385964912,18,8,183,82,2,182,20,10,73,859,12,7,knightthrough,rbg,25,1.1666666666666667,20,4,56,35,2,51,4,2,3,599,4,6,71.97802197802197
714,1.088468809073724,439,34,2879,886,5,2755,306,109,1274,3022,146,8,chineseCheckers6,rbg,320,1.2734177215189872,432,99,1006,383,5,833,108,42,96,3022,50,8,69.76406533575317
98,1.079155672823219,60,10,409,66,8,406,36,26,203,1429,12,7,gomoku_standard_11x11,rbg,25,1.2736842105263158,60,24,121,26,8,100,8,4,24,820,4,5,75.36945812807882
521,1.1312127236580516,323,8,1707,439,15,1572,109,62,566,784,188,8,15puzzle,rbg,208,1.50814332247557,114,21,463,149,15,325,64,17,46,496,31,6,79.32569974554707
330,1.258309591642925,214,16,1325,532,16,1064,20,10,603,1212,158,8,chessLosAlamos6x6_kingCapture,rbg,231,1.613272311212815,220,16,709,284,16,442,8,4,180,1212,70,8,58.45864661654135
685,1.0665834373699543,286,14,2563,499,6,2533,266,129,842,490,484,9,theMillGame,rbg,213,1.2653061224489797,153,16,558,254,4,471,110,29,32,466,50,8,81.40544808527437
282,1.2402528977871443,166,15,1177,480,16,960,20,10,583,712,126,8,chessSilverman4x5_kingCapture,rbg,205,1.5900783289817233,172,15,611,244,16,388,8,4,172,712,54,8,59.583333333333336
780,1.1549345596038203,884,12,3265,674,16,2870,98,42,1487,345,16,7,reversi_4x4,rbg,647,1.2627852084972462,868,20,1605,292,8,1300,74,28,1,329,15,6,54.70383275261324
780,1.1549345596038203,884,12,3265,674,16,2870,98,42,1487,1017,16,7,reversi_10x10,rbg,647,1.2627852084972462,868,20,1605,292,8,1300,74,28,1,917,15,6,54.70383275261324
780,1.1549345596038203,884,12,3265,674,16,2870,98,42,1487,505,16,7,reversi_6x6,rbg,647,1.2627852084972462,868,20,1605,292,8,1300,74,28,1,469,15,6,54.70383275261324
78,1.0861244019138756,10,6,227,107,4,220,20,10,105,539,14,7,foxAndHounds,rbg,35,1.288888888888889,10,4,58,35,4,50,8,4,1,375,4,5,77.27272727272727
98,1.079155672823219,60,10,409,66,8,406,36,26,203,1909,12,7,gomoku_standard_13x13,rbg,25,1.2736842105263158,60,24,121,26,8,100,8,4,24,1060,4,5,75.36945812807882
784,1.112079701120797,378,13,2679,822,16,2442,58,32,1183,530,276,8,dashGuti,rbg,391,1.3449477351916377,238,21,772,315,16,587,28,12,37,509,78,7,75.96232596232596
1056,1.3118503118503118,1038,15,4417,1226,10,3386,44,18,1993,1773,286,9,internationalDraughts,rbg,850,1.7029478458049887,1028,19,2253,574,12,1336,38,12,243,1773,94,9,60.543414057885414
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,709,4,7,hex_7x7,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,460,2,5,82.01754385964912
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,469,4,7,hex_5x5,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,340,2,5,82.01754385964912
64,1.1895734597156398,12,8,251,58,6,228,32,16,139,1029,4,7,hex_9x9,rbg,37,1.8823529411764703,12,6,64,23,7,41,12,6,1,620,2,5,82.01754385964912
17,1.1428571428571428,7,14,32,27,3,30,2,1,2,270,4,6,breakthrough,rg,17,1.148148148148148,7,14,31,26,3,29,2,1,1,270,4,6,3.3333333333333335
12,1.181818181818182,7,10,26,23,3,23,2,1,1,274,4,6,breakthrough-simple,rg,12,1.181818181818182,7,10,26,23,3,23,2,1,1,274,4,6,-0.0
13,1.1785714285714286,12,5,33,17,4,31,4,2,2,49,2,7,ticTacToe,rg,11,1.2,12,5,30,16,4,28,4,2,1,49,2,7,9.67741935483871
1,1.0,0,0,1,2,1,2,0,0,0,6,0,3,minimal,rg,1,1.0,0,0,1,2,1,2,0,0,0,6,0,3,-0.0
203,1.2523540489642184,262,7,665,312,6,533,2,1,119,1032,79,15,oware,hrg,197,1.3504043126684635,240,7,501,227,5,373,2,1,47,1032,15,15,30.0187617260788
308,1.2181391712275216,268,33,1558,1274,8,1281,2,1,695,1429,285,11,chess_kingCapture,hrg,181,1.579295154185022,268,32,717,453,8,456,2,1,235,1421,31,10,64.40281030444966
18,1.2040816326530612,20,6,59,44,2,51,2,1,18,898,1,8,dotsAndBoxes,hrg,17,1.3225806451612905,20,6,41,30,2,33,2,1,1,898,1,8,35.294117647058826
50,1.1308411214953271,188,8,363,40,4,326,8,4,115,103312,2,12,gomoku_standard,hrg,15,1.244186046511628,188,40,214,23,8,177,8,4,1,1144,2,5,45.70552147239264
8,1.1785714285714286,8,0,33,18,3,31,4,2,10,19,3,5,satSolver,hrg,8,1.2777777777777777,8,0,23,13,3,21,4,2,0,19,3,5,32.25806451612903
