language,<50,<100,<500,<1000,<2000,<4000,>4000,Average
rbg,,,1207.2,553.0,68.1,245.4,725.9,668.4
kif,,,59.5,50.8,45.0,,,51.8
hrg,4.9,19.1,41.7,28.1,48.4,42.2,81.1,39.7
Average,4.9,19.1,501.6,263.9,62.4,229.1,645.3,363.4
