average_branching,constants,edges,main_automaton_nodes,max_branching,nodes,reachability_subautomatons,repeat_nodes,repeat_or_unique_nodes,state_size,typedefs,unique_nodes,variables,game,language,flags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.341211225997046,11,908,399,8,755,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3805601317957166,13,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3731825525040389,14,850,411,8,659,39,0,0,1219,18,0,7,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3585476550680786,11,898,443,8,707,45,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-comparisons --skip-unused-tags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-unused-tags
1.3805601317957166,11,838,399,8,647,39,0,0,715,18,0,5,amazons_split5,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons
1.2481203007518797,21,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--enable-all-optimizations
1.112079701120797,13,2679,822,16,2442,32,0,0,470,14,0,8,pretwa,rbg,none
1.2481203007518797,64,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2481203007518797,64,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.1433189655172413,64,2124,620,9,1871,14,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2295454545454545,56,1082,399,8,895,14,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2703252032520325,64,1250,399,16,1017,32,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2470023980815348,64,1040,399,16,849,14,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2652259332023577,64,1288,441,16,1033,14,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.1943081452404318,64,1217,530,16,1032,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2481203007518797,56,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2481203007518797,21,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2518703241895262,64,1004,399,16,817,14,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2481203007518797,64,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-singleton-types --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2481203007518797,64,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-unreachable-nodes --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2745471877979027,64,1337,397,16,1082,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unused-constants --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
1.2481203007518797,64,996,397,16,811,12,0,0,451,14,0,7,pretwa,rbg,--compact-comparisons --compact-reachability --compact-skip-edges --inline-assignment --inline-reachability --join-exclusive-edges --join-fork-prefixes --join-fork-suffixes --merge-accesses --normalize-constants --propagate-constants --prune-self-loops --prune-singleton-types --prune-unreachable-nodes --prune-unused-variables --reorder-conditions --skip-artificial-tags --skip-redundant-tags --skip-self-assignments --skip-self-comparisons --skip-unused-tags
